ClientID,CookstoveType,StoveNumber,SigningDate,ContractCheckStatus,DoubleContractCheck,ClientNumberCheck
C984063422,Improved cookstove,DOD/K07764,18/11/2025,Approved,Ok,Ok
C984713301,Improved cookstove,DOD/K07173,18/11/2025,Approved,Ok,Ok
C992924479,Improved cookstove,DOD/K07311,18/11/2025,Approved,Ok,Ok
C984063180,Improved cookstove,DOD/K07111,18/11/2025,Approved,Ok,Ok
C001849864,Improved cookstove,DOD/K07253,18/11/2025,Approved,Ok,Ok
C995273743,Improved cookstove,DOD/K07417,18/11/2025,Approved,Ok,Ok
C001872376,Improved cookstove,DOD/K07379,18/11/2025,Approved,Ok,Ok
C984707135,Improved cookstove,DOD/K07235,18/11/2025,Approved,Ok,Ok
C001852873,Improved cookstove,DOD/K07375,18/11/2025,Approved,Ok,Ok
C984735956,Improved cookstove,DOD/K07104,18/11/2025,Approved,Ok,Ok
C984735012,Improved cookstove,DOD/K08010,18/11/2025,Approved,Ok,Ok
C001871925,Improved cookstove,DOD/K05051,18/11/2025,Approved,Ok,Ok
C992925470,Improved cookstove,DOD/K07598,18/11/2025,Approved,Ok,Ok
C995274709,Improved cookstove,DOD/K07393,18/11/2025,Approved,Ok,Ok
C002426399,Improved cookstove,DOD/K07443,18/11/2025,Approved,Ok,Ok
C002164952,Improved cookstove,DOD/K07502,18/11/2025,Approved,Ok,Ok
C002166413,Improved cookstove,DOD/K07497,18/11/2025,Approved,Ok,Ok
C984816992,Improved cookstove,DOD/K07425,18/11/2025,Approved,Ok,Ok
C001855310,Improved cookstove,DOD/K07512,18/11/2025,Approved,Ok,Ok
C002160197,Improved cookstove,DOD/K07963,18/11/2025,Approved,Ok,Ok
C992924714,Improved cookstove,DOD/K05052,18/11/2025,Approved,Ok,Ok
C984736721,Improved cookstove,DOD/K07271,18/11/2025,Approved,Ok,Ok
C050989719,Improved cookstove,DOD/K07261,18/11/2025,Approved,Ok,Ok
C105579140,Improved cookstove,DOD/K06697,18/11/2025,Approved,Ok,Ok
C051059746,Improved cookstove,DOD/K05525,18/11/2025,Approved,Ok,Ok
C105500128,Improved cookstove,DOD/K05061,18/11/2025,Approved,Ok,Ok
C050987457,Improved cookstove,DOD/K05050,18/11/2025,Approved,Ok,Ok
C105496594,Improved cookstove,DOD/K05186,18/11/2025,Approved,Ok,Ok
C105565880,Improved cookstove,DOD/K05181,18/11/2025,Approved,Ok,Ok
C053719251,Improved cookstove,DOD/K07171,18/11/2025,Approved,Ok,Ok
C105577695,Improved cookstove,DOD/K05695,18/11/2025,Approved,Ok,Ok
C053576405,Improved cookstove,DOD/K07199,18/11/2025,Approved,Ok,Ok
C053572994,Improved cookstove,DOD/K07020,18/11/2025,Approved,Ok,Ok
C046627582,Improved cookstove,DOD/K05048,18/11/2025,Approved,Ok,Ok
C105573927,Improved cookstove,DOD/K05017,18/11/2025,Approved,Ok,Ok
C105580096,Improved cookstove,DOD/K07238,18/11/2025,Approved,Ok,Ok
C105561541,Improved cookstove,DOD/K06595,18/11/2025,Approved,Ok,Ok
C051058843,Improved cookstove,DOD/K07391,18/11/2025,Approved,Ok,Ok
C995273683,Improved cookstove,DOD/K07229,18/11/2025,CheckNotPassed,Ok,2 Wrong
C009974226,Improved cookstove,DOD/K07625,18/11/2025,Approved,Ok,Ok
C001877754,Improved cookstove,DOD/K07707,18/11/2025,Approved,Double Contract,Ok
C009973435,Improved cookstove,DOD/K07703,18/11/2025,Approved,Ok,Ok
C009971995,Improved cookstove,DOD/K07660,18/11/2025,Approved,Ok,Ok
C984707307,Improved cookstove,DOD/K07057,18/11/2025,Approved,Ok,Ok
C984736792,Improved cookstove,DOD/K06473,18/11/2025,Approved,Ok,Ok
C984712330,Improved cookstove,DOD/K06409,18/11/2025,Approved,Ok,Ok
C001858373,Improved cookstove,DOD/K07643,18/11/2025,Approved,Ok,Ok
C992924418,Improved cookstove,DOD/K07946,18/11/2025,Approved,Ok,Ok
C984709881,Improved cookstove,DOD/K07099,18/11/2025,Approved,Ok,Ok
C984733137,Improved cookstove,DOD/K07675,18/11/2025,Approved,Ok,Ok
C984065506,Improved cookstove,DOD/K07914,18/11/2025,Approved,Ok,Ok
C002427668,Improved cookstove,DOD/K07734,18/11/2025,Approved,Ok,Ok
C009971841,Improved cookstove,DOD/K07852,18/11/2025,Approved,Ok,Ok
C984736210,Improved cookstove,DOD/K07030,18/11/2025,Approved,Ok,Ok
C001855153,Improved cookstove,DOD/K07830,18/11/2025,Approved,Ok,Ok
C984815246,Improved cookstove,DOD/K07975,18/11/2025,Approved,Ok,Ok
C984735309,Improved cookstove,DOD/K07549,18/11/2025,Approved,Ok,Ok
C0536395581,Improved cookstove,DOD/K07298,18/11/2025,CheckNotPassed,Ok,2 Wrong
C999355563,Improved cookstove,DOD/K07034,18/11/2025,Approved,Ok,Ok
C992923256,Improved cookstove,DOD/K07785,18/11/2025,Approved,Ok,Ok
C984810614,Improved cookstove,DOD/K07644,18/11/2025,Approved,Ok,Ok
C984064770,Improved cookstove,DOD/K07054,18/11/2025,Approved,Ok,Ok
C002163563,Improved cookstove,DOD/K07760,18/11/2025,Approved,Ok,Ok
C992925172,Improved cookstove,DOD/K07686,18/11/2025,Approved,Ok,Ok
C999356684,Improved cookstove,DOD/K07858,18/11/2025,Approved,Ok,Ok
C984712020,Improved cookstove,DOD/K07553,18/11/2025,Approved,Ok,Ok
C999356893,Improved cookstove,DOD/K07889,18/11/2025,Approved,Ok,Ok
C001870716,Improved cookstove,DOD/K07676,18/11/2025,Approved,Ok,Ok
C984811744,Improved cookstove,DOD/K07302,18/11/2025,Approved,Ok,Ok
C984063246,Improved cookstove,DOD/K07897,18/11/2025,Approved,Ok,Ok
C992923506,Improved cookstove,DOD/K07837,18/11/2025,Approved,Ok,Ok
C984064698,Improved cookstove,DOD/K07783,18/11/2025,Approved,Ok,Ok
C999358754,Improved cookstove,DOD/K07989,18/11/2025,Approved,Ok,Ok
C984807050,Improved cookstove,DOD/K07352,18/11/2025,Approved,Ok,Ok
C999358985,Improved cookstove,DOD/K07108,18/11/2025,Approved,Ok,Ok
C002161985,Improved cookstove,DOD/K07320,18/11/2025,Approved,Ok,Ok
C984712530,Improved cookstove,DOD/K07985,18/11/2025,Approved,Ok,Ok
C984707534,Improved cookstove,DOD/K07736,18/11/2025,Approved,Ok,Ok
C096942600,Improved cookstove,DOD/K07751,18/11/2025,Approved,Ok,Ok
C984812890,Improved cookstove,DOD/K07462,18/11/2025,Approved,Ok,Ok
C105462730,Improved cookstove,DOD/K07476,18/11/2025,Approved,Ok,Ok
C984063490,Improved cookstove,DOD/K07333,18/11/2025,Approved,Ok,Ok
C984810350,Improved cookstove,DOD/K07315,18/11/2025,Approved,Ok,Ok
C051057780,Improved cookstove,DOD/K07356,18/11/2025,Approved,Ok,Ok
C002166118,Improved cookstove,DOD/K07331,18/11/2025,Approved,Ok,Ok
C984810434,Improved cookstove,DOD/K07991,18/11/2025,Approved,Ok,Ok
C001858670,Improved cookstove,DOD/K07509,18/11/2025,Approved,Ok,Ok
C984734980,Improved cookstove,DOD/K07933,18/11/2025,Approved,Ok,Ok
C009972236,Improved cookstove,DOD/K07219,18/11/2025,Approved,Ok,Ok
C995276042,Improved cookstove,DOD/K07531,18/11/2025,Approved,Ok,Ok
C992923016,Improved cookstove,DOD/K07285,18/11/2025,Approved,Ok,Ok
